id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
district-dinajpur,Dinajpur,Rural,197849,88639,4409,104801,386923,249537,5635,131751,186,147,123
district-dinajpur,Dinajpur,Urban,71314,46310,5632,19372,194683,161309,8217,25157,187,147,123
district-gaibandha,Gaibandha,Total,204934,88129,10343,106462,366771,229948,12916,123907,188,147,123
district-gaibandha,Gaibandha,Rural,158856,60114,6037,92705,263398,148506,7177,107715,189,147,123
district-gaibandha,Gaibandha,Urban,46078,28015,4306,13757,103373,81442,5739,16192,190,147,123
district-kurigram,Kurigram,Total,170446,76080,6776,87590,310913,189966,8567,112380,191,147,123
district-kurigram,Kurigram,Rural,123140,49312,3965,69863,206644,111707,4897,90040,192,147,123
district-kurigram,Kurigram,Urban,47306,26768,2811,17727,104269,78259,3670,22340,193,147,123
district-lalmonirhat,Lalmonirhat,Total,99676,53811,4452,41413,188459,131666,6486,50307,194,147,123
district-lalmonirhat,Lalmonirhat,Rural,69790,34055,2032,33703,119044,75314,2528,41202,195,147,123
district-lalmonirhat,Lalmonirhat,Urban,29886,19756,2420,7710,69415,56352,3958,9105,196,147,123
district-nilphamari,Nilphamari,Total,157943,80902,7549,69492,347180,249784,10402,86994,197,147,123
district-nilphamari,Nilphamari,Rural,106976,49128,3247,54601,214206,141701,4069,68436,198,147,123
district-nilphamari,Nilphamari,Urban,50967,31774,4302,14891,132974,108083,6333,18558,199,147,123
district-panchagarh,Panchagarh,Total,88247,43721,4187,40339,172356,118134,5478,48744,200,147,123
district-panchagarh,Panchagarh,Rural,69068,31346,2537,35185,122696,77175,3170,42351,201,147,123
district-panchagarh,Panchagarh,Urban,19179,12375,1650,5154,49660,40959,2308,6393,202,147,123
district-rangpur,Rangpur,Total,234114,127425,13552,93137,534344,403264,17514,113566,203,147,123
district-rangpur,Rangpur,Rural,147064,70902,6670,69492,284006,191822,8211,83973,204,147,123
district-rangpur,Rangpur,Urban,87050,56523,6882,23645,250338,211442,9303,29593,205,147,123
district-thakurgaon,Thakurgaon,Total,110443,64460,4423,41560,238081,175067,5736,57278,206,147,123
district-thakurgaon,Thakurgaon,Rural,81158,43021,2508,35629,154426,102284,3053,49089,207,147,123
district-thakurgaon,Thakurgaon,Urban,29285,21439,1915,5931,83655,72783,2683,8189,208,147,123
division-sylhet,Sylhet Division,Total,546650,322533,29650,194467,1385017,1089361,39142,256514,209,147,123
division-sylhet,Sylhet Division,Rural,371990,199218,16231,156541,853886,626424,20772,206690,210,147,123
division-sylhet,Sylhet Division,Urban,174660,123315,13419,37926,531131,462937,18370,49824,211,147,123
district-habiganj,Habiganj,Total,126310,68296,7008,51006,331143,257411,9108,64624,212,147,123
